Word	Frequency	Diversity	Clusters	Density	Synsets	WikiFreq
expenditure	13	0.1533787443863268	7	0.5126052951468103	3	4150
scan	14	0.2326088810904317	3	0.5080307119548998	9	3437
silk	7	0.22209666358859187	4	0.46601316271137233	2	15692
profession	26	0.2018931640123274	5	0.4701576341053344	4	5894
appetite	5	0.12720953359609474	3	0.5229274711556122	1	55
aim	71	0.28968366262027684	13	0.4655072741354045	11	776
share	145	0.31080211992358	24	0.38078955021958666	10	2094
exasperation	5	0.10619727768077895	2	0.5583590415901262	2	464
incur	3	0.07943383832920499	2	0.6988662511580794	2	57
verify	3	0.0853258500999828	2	0.6656430398100699	4	1028
express	77	0.3039035361498433	15	0.43260402712198887	13	97
wing	23	0.25109852807008987	7	0.5118680562549667	12	148
landscape	17	0.2361724243906959	5	0.5128639104765464	6	24856
jonah	3	0.1726782650648856	2	0.6217318187015666	3	10826
nec	12	0.20745431702303407	4	0.6387223623500967	1	476
greeley	12	0.1300122003520516	4	0.7055225078595588	1	4967
again	166	0.306246018615755	29	0.3785518003980515	1	1361
ruth	3	0.17660658884573063	2	0.7011926216334081	4	42
restriction	7	0.17262021241896322	3	0.413348403096149	3	6289
stylish	5	0.22604372200784387	3	0.5513782344333152	2	921
supervisor	3	0.15971837785467954	2	0.5102821773344222	2	13005
commonly	4	0.24073328515419917	2	0.5531343730167246	1	3971
colliery	4	0.16958984346035408	2	0.6287728251405562	1	7856
muslim	3	0.185944739886682	2	0.6635924191591192	2	13633
videotape	5	0.16356499589632706	3	0.6875403679226594	3	694
consolation	5	0.17410475033130854	3	0.4227245394778442	2	2931
elusive	4	0.25157227273421034	2	0.44528068595537607	4	1514
unacceptable	6	0.1731438562308775	3	0.641286894961221	4	244
rive	3	0.17453167663404076	2	0.6937092935147674	2	1695
choose	80	0.28772393686799924	19	0.3649445077393964	3	2406
republican	15	0.22407723058379397	7	0.6512423543696104	5	14998
ankle	6	0.13605518482930315	3	0.7298721638917705	1	101
postscript	4	0.11205390670368101	2	0.7748750978366292	2	733
behave	17	0.19428426490586095	3	0.36257153576046347	3	712
primitive	11	0.23679267387726155	3	0.5146065346973199	7	6933
policewoman	7	0.1476363227650923	3	0.7942736071862493	1	384
